participant_number,Gender,Age,display_condition,gist_p,Average_Z_LN_plusone_verb_items
105,1,19,1,15,-1.43442002962824
106,1,22,1,8,-.629387956146326
107,2,18,1,8,-.410267995815085
109,2,20,1,8,.376334053669316
112,1,19,1,8,-.373672882308612
113,1,18,1,4,-.540013328135074
116,2,19,1,10,.843090995099864
118,2,19,1,2,-1.11053620585042
121,2,19,1,5,-.721267531091454
122,2,18,1,4,-.410267995815085
125,2,19,1,2,-.827334716205419
127,2,19,1,8,-.957080048525408
129,2,19,1,15,.177320891835818
132,1,19,1,15,2.46739438370859
133,2,18,1,4,-.198742013246253
136,2,21,1,7,-.435953908428313
140,1,19,1,4,-.152450907318114
144,2,20,1,7,-1.08253090178406
145,2,19,1,9,-.881284643023894
156,1,18,1,5,.0590750752507174
160,2,19,1,7,.415086024213446
163,1,20,1,3,-.110736637930047
164,2,18,1,2,-1.19228417830026
169,2,18,1,7,.772227573787502
170,2,19,1,7,-.410267995815085
173,2,18,1,8,.442731958095198
174,1,20,1,10,-.0837963215252175
176,1,18,1,3,-.759133288466315
181,2,19,1,4,-.248541683139124
185,1,19,1,15,1.01604800946963
186,1,19,1,7,-.608877012083467
189,2,19,1,8,-.0298417781075166
190,2,19,1,8, 
195,1,19,1,13,-.410267995815085
201,2,21,1,3,-.410267995815085
203,1,19,1,15,1.10629322583978
204,2,18,1,7,-.297877476807098
205,2,18,1,4,-.957080048525408
210,2,21,1,12,1.29087889200378
215,1,21,1,9,-.0400603883101274
216,1,20,1,13,.177320891835818
223,1,18,1,7,.488321640402685
226,1,20,1,15,-.152450907318114
228,1,18,1,11,.227975310389454
233,1,21,1,5,-.410267995815085
237,1,22,1,8,.415031183968558
239,1,19,1,8,.368581162756259
240,1,18,1,8,-.0837963215252175
242,1,20,1,3,-.475848520635859
245,1,20,1,15,-.410267995815085
247,2,18,1,11,.514410485290531
248,2,19,1,6,.225709765980324
252,1,20,1,3,-1.29835136341423
253,2,18,1,10,.0590750752507174
257,1,19,1,11,1.22731914606619
263,2,19,1,8,-.0298417781075166
266,1,18,1,3,-.827334716205419
267,2,19,1,9,1.02561691737485
269,2,19,1,8,.126539381451005
274,1,19,1,3,-.623467554526923
277,2,20,1,13,.393140727302995
279,1,19,1,2,-.957080048525408
282,1,19,1,4,-.0328044996944099
285,2,18,1,5,-.957482980800026
293,1,19,1,10,-.110736637930047
295,2,19,1,8,-.410267995815085
299,1,19,1,13,-.410267995815085
301,1,18,1,6,-.295322304094049
305,1,19,1,4,-.410267995815085
310,1,18,1,3,.285529689409698
315,2,19,1,5,-.410267995815085
320,1,19,1,3,2.04098116864463
323,2,19,1,11,.635908194149137
324,1,19,1,2,-1.29835136341423
331,2,18,1,15,1.74749859007737
332,2,19,1,6,.308781169451275
337,1,19,1,4,-.5483444274363
338,2,19,1,9,.246185789074709
342,1,18,1,6,-.615808733636588
344,1,19,1,12,1.10132735544491
347,1,18,1,4,1.4130001215083
348,2,21,1,8,-.410267995815085
350,1,22,1,3,-.410267995815085
354,2,19,1,5,-.827334716205419
356,2,19,1,8,-1.34254045468311
108,2,19,2,4,-.11006231924329
110,1,21,2,3,-.952785569464071
110,1,19,2,2,-.952785569464071
111,1,21,2,11,.0346598065058777
114,2,19,2,12,1.15259708260541
115,2,19,2,10,.945396376239079
116,2,18,2,8,.246185789074709
117,2,19,2,10,.181614744734163
124,2,19,2,10,.645190699667284
130,2, ,2,9,.302640664960571
135,1,19,2,3,.177320891835818
141,2,21,2,8,-.410267995815085
143,1,19,2,13,-.410267995815085
146,1,19,2,3,-1.43442002962824
150,2,18,2,6,-.0298417781075166
