participant_number,Gender,Age,display_condition,gist_p,Average_Z_LN_plusone_verb_items
151,2,18,2,10,.425147934476693
154,1,20,2,8,-.410267995815085
155,2,19,2,5,-.623467554526923
157,2,18,2,6,-.721267531091454
158,1,21,2,15,-.0950855258141111
159,2,18,2,4,-.766338951302858
161,2,19,2,5,-.152450907318114
165,2,18,2,8,.645190699667284
168,2,19,2,11,-.410267995815085
172,1,20,2,4,-.540013328135074
177,1,19,2,5,-.410267995815085
178,2,19,2,7,1.40326941101177
180,1,19,2,5,-.410267995815085
182,1,19,2,5,-.410267995815085
183,1,19,2,4,.875442157102827
184,1,19,2,8,-.0400603883101274
191,2,19,2,6,-.827334716205419
194,1,18,2,2,-.827334716205419
196,1,19,2,1,-3.69803008227336
198,2,18,2,12,.147050325513865
202,2,20,2,15,-.410267995815085
208,1,22,2,8,-.410267995815085
209,1,19,2,8,-.721267531091454
211,2,22,2,3,-.410267995815085
212,2,18,2,9,.746626628605734
219,1,18,2,13,.966979754721087
220,2,19,2,8,.0518694124141742
222,2,20,2,11,.0346598065058777
225,1,18,2,2,-.131537030980636
229,2,19,2,8,-.410267995815085
230,2,21,2,14,1.7360042488222
232,1,19,2,8,-.410267995815085
234,1,20,2,6,-.51699743713834
236,1,19,2,3,-1.30427176503363
244,1,20,2,8,1.44012384845291
249,2,19,2,3,-.425067636414038
254,2,19,2,15,1.8976733503494
256,1,19,2,5,-.410267995815085
258,1,18,2,15,-.0342050907330138
261,2,19,2,7,1.24597004349021
264,1,20,2,12,1.09885253356409
265,2,21,2,15,1.04881966571157
269,2,18,2,8,-.198742013246253
273,2,18,2,6,-.5483444274363
275,2,19,2,5,.285529689409698
276,1,21,2,10,-.198742013246253
278,1,20,2,5,-.540013328135074
286,2,19,2,4,-.410267995815085
287,1,19,2,6,-1.81947750351132
289,1,20,2,2,-1.58747325467863
291,1,22,2,15,1.22731914606619
296,2,18,2,2,-1.88175852963102
298,2,19,2,13,.515445367347295
300,1,19,2,15,-.410267995815085
302,1,18,2,6,-1.66593806800086
306,2,19,2,8,.489026084142501
307,1,18,2,14,.603476430279217
308,1,20,2,5,-.297877476807098
317,1,18,2,8,.302640664960571
318,2,18,2,4,-.410267995815085
327,1,20,2,7,.488321640402685
328,2,20,2,6,.0518694124141742
329,2,18,2,13,-.0298417781075166
330,1,20,2,8,-.605593852955848
336,1,19,2,7,.543346777906669
339,1,22,2,3,-.912589445791328
345,2,19,2,3,-1.23598705910907
346,1,18,2,6,.928438878322076
349,1,18,2,2,-.605593852955848
353,1,22,2,5,.100789344638785
355,2,19,2,8,1.23046710320287
359,1,19,2,3,-.74125958689524
